doi,title,journal_title,year
10.1101/2020.02.24.20027490,Normative vs. patient-specific brain connectivity in Deep Brain Stimulation,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.02.27.967703,Unveiling Crucivirus Diversity by Mining Metagenomic Data,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.02.28.969147,Genome wide association analysis in dilated cardiomyopathy reveals two new key players in systolic heart failure on chromosome 3p25.1 and 22q11.23,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.02.28.967752,Live-cell imaging of circadian clock protein dynamics in CRISPR-generated knock-in cells,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.02.27.966770,Propagation of Hippocampal Ripples to the Neocortex by Way of a Subiculum-Retrosplenial Pathway,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.2.14567/v3,Risk factor analysis for predicting kyphosis reoccurrence of thoracolumbar burst fracture patients treated with posterior short-segment fixation,Research Square,2020
10.1101/2020.03.04.974949,Mouse embryonic stem cells self-organize into trunk-like structures with neural tube and somites,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.05.20030502,Virological assessment of hospitalized cases of coronavirus disease 2019,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.09.983080,Comprehensive analysis of prognostic immune-related genes in the tumor microenvironment of lung adenocarcinoma,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/866624,Cognitive and brain development is independently influenced by socioeconomic status and polygenic scores for educational attainment,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-17082/v1,A Novel Method for the Correlation of Histological Slides and MRI Imaging of the Prostate using 3D Vertex Models,Research Square,2020
10.1101/2020.03.13.991455,SARS-CoV-2 receptor ACE2 and TMPRSS2 are predominantly expressed in a transient secretory cell type in subsegmental bronchial branches,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.15.992420,"NOSA, an analytical toolbox for multicellular optical electrophysiology",bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.17.995639,"Comparative Pathogenesis Of COVID-19, MERS And SARS In A Non-Human Primate Model",bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.10.986711,Efficient inactivation of SARS-CoV-2 by WHO-recommended hand rub formulations and alcohols,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-17413/v1,Formula-fed and Clostridium difficile infected neonatal piglets carry a highly diverse and abundant set of antimicrobial resistance genes,Research Square,2020
10.1101/405985,Mutant screen for reproduction unveils depression-associated Piccolo’s control over reproductive behavior,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.19.990861,Dodecin as carrier protein for immunizations and bioengineering applications,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.18.20038059,SARS-CoV-2 specific antibody responses in COVID-19 patients,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.18.994079,"parSMURF, a High Performance Computing tool for the genome-wide detection of pathogenic variants",bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.21.001404,<i>In vivo</i> validation of spray-dried mesoporous bioactive glass microspheres acting as prolonged local release systems for BMP-2 to induce bone regeneration,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-18466/v1,Fluorescence optical imaging is helpful in the decision for rituximab (RTX) re-therapy in patients with rheumatoid arthritis,Research Square,2020
10.21203/rs.3.rs-18525/v1,Meta-analysis in periprosthetic joint infection: a global bibliometric analysis,Research Square,2020
10.1101/2020.03.24.20042226,Applying time series analyses on continuous accelerometry data – a clinical example in older adults with and without cognitive impairment,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.26.009795,Identifying optimal working points of individual Virtual Brains: A large-scale brain network modelling study,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.26.008300,Localized inhibition in the Drosophila mushroom body,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.24.004937,Real-world structure facilitates the rapid emergence of scene category information in visual brain signals,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.27.011635,"SynaptoPAC, an Optogenetic Tool for Induction of Presynaptic Plasticity",bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.24.20041020,Systematic review and critical appraisal of prediction models for diagnosis and prognosis of COVID-19 infection,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.26.009993,Non-invasive surveys of mammalian viruses using environmental DNA,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.29.013649,NAD<sup>+</sup> prevents septic shock by non-canonical inflammasome blockade and IL-10,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.03.29.20039529,SARS-CoV-2 asymptomatic and symptomatic patients and risk for transfusion transmission,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.02.021709,Mobilization of tissue-resident memory CD4+ T lymphocytes and their contribution to a systemic secondary immune reaction,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.03.023325,Minimizing biosignal recording sites for hybrid noninvasive brain/neural robot control,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.03.023192,Stimulation Artifact Source Separation (SASS) for assessing electric brain oscillations during transcranial alternating current stimulation (tACS),bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.03.024075,Cells and gene expression programs in the adult human heart,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.02.20049676,Public perspectives on social distancing and other protective measures in Europe: a cross-sectional survey study during the COVID-19 pandemic,medRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-21876/v1,Long-term safety and effectiveness of etanercept in JIA: an 18-year experience from the BIKER registry,Research Square,2020
10.21203/rs.2.19339/v2,Prevalence and antimicrobial susceptibility of Arcobacter species in human stool samples derived from out- and inpatients: the prospective German Arcobacter prevalence study Arcopath,Research Square,2020
10.21203/rs.3.rs-19308/v2,Glioma patients in outpatient care - Optimization of psychosocial care in neuro-oncological patients (GLIOPT): Protocol for a cluster randomized controlled trial.,Research Square,2020
10.1101/2020.04.08.20057570,BRAVE-NET: Fully Automated Arterial Brain Vessel Segmentation In Patients with Cerebrovascular Disease,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.12.038414,Co-activation of NF-κB and MYC renders cancer cells addicted to IL6 for survival and phenotypic stability,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.2.24840/v2,Validity and diagnostic performance of Fluorescence Optical Imaging measuring synovitis in hand osteoarthritis. Baseline results from the Nor-Hand cohort.,Research Square,2020
10.1101/2020.04.15.997254,"Analysis of SARS-CoV-2-controlled autophagy reveals spermidine, MK-2206, and niclosamide as putative antiviral therapeutics",bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.14.041665,Single-nucleus transcriptomics reveals functional compartmentalization in syncytial skeletal muscle cells,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.14.040808,Two-dimensional reward evaluation in mice,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.16.045120,A comprehensive benchmarking of WGS-based structural variant callers,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.16.044081,G3BP1 tethers the TSC complex to lysosomes and suppresses mTORC1 in the absence of stress granules,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.15.20066324,Serum anti-NMDA-receptor antibodies and cognitive function after ischemic stroke (PROSCIS-B),medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.20.050591,A CRISPR-Cas9–engineered mouse model for GPI-anchor deficiency mirrors human phenotypes and exhibits hippocampal synaptic dysfunctions,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.17.20056622,Smoking does not alter treatment effect of intravenous thrombolysis in mild to moderate acute ischemic stroke – a Dutch String-of-Pearls Institute (PSI) Stoke Study,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.17.20061440,Presence of SARS-CoV-2-reactive T cells in COVID-19 patients and healthy donors,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/19013623,"rs641738C>T near MBOAT7 is positively associated with liver fat, ALT, and histological severity of NAFLD: a meta-analysis",bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.2.19014/v3,Reevaluation of risk factors for time to subsequent events after first stroke occurrence using a new weighted all-cause effect measure,Research Square,2020
10.1101/2020.04.23.054833,Ribosome profiling reveals ribosome stalling on tryptophan codons upon oxidative stress in fission yeast,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.24.031138,Age-dependent genetic variants associated with longitudinal changes in brain structure across the lifespan,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-24704/v1,"Explorative analysis of a predictive score for patients with metastatic, castration resistant prostate cancer undergoing radioligand therapy with [177Lu]Lu-labeled prostate-specific membrane antigen",Research Square,2020
10.1101/2020.04.24.060905,"Phytochrome mediated responses in Agrobacterium fabrum: growth, swimming, plant infection and interbacterial competition",bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.27.064246,Average beta burst duration profiles provide a signature of dynamical changes between the ON and OFF medication states in Parkinson’s disease,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.28.065474,Self-reported sleep problems are related to cortical thinning in aging but not memory decline and amyloid-β accumulation – results from the Lifebrain consortium,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.29.067561,Durable memories and efficient neural coding through mnemonic training using the method of loci,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.29.067744,Optimal time frequency analysis for biological data - pyBOAT,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.28.20074187,FACT- Frankfurt adjusted COVID-19 testing- a novel method enables high-throughput SARS-CoV-2 screening without loss of sensitivity,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.27.20081810,Clinical classifiers of COVID-19 infection from novel ultra-high-throughput proteomics,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.03.074682,Regulated compartmentalization of enzymes in Golgi by GRASP55 controls cellular glycosphingolipid profile and function,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-24727/v1,"Molecular-Based Cross-Species Evaluation of Bovine Coronavirus Infection in Cattle, Sheep and Goats in Ghana.",Research Square,2020
10.1101/2020.05.05.079194,Bulk and single-cell gene expression profiling of SARS-CoV-2 infected human cell lines identifies molecular targets for therapeutic intervention,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.04.29.20084327,Cross-talk between the airway epithelium and activated immune cells defines severity in COVID-19,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.04.069914,Rapid T cell receptor interaction grouping with ting,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.04.075119,Single-cell RNA sequencing reveals subset-specific functional reprogramming of CD4+ T-cells from PLHIV upon ex vivo HDAC inhibition and biomarkers of cells harbouring non-silent proviruses,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.03.20089235,Geospatial precision simulations of community confined human interactions during SARS-CoV-2 transmission reveals bimodal intervention outcomes,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.05.076927,Conserved long-range base pairings are associated with pre-mRNA processing of human genes,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.05.077834,"Cortical Thickness Trajectories across the Lifespan: Data from 17,075 healthy individuals aged 3-90 years",bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.06.080259,Integrative Single-cell RNA-Seq and ATAC-Seq Analysis of Human Developmental Haematopoiesis,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.06.079707,Lack of Kcnn4 improves mucociliary clearance in muco-obstructive lung disease,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.05.079475,"Subcortical Volume Trajectories across the Lifespan: Data from 18,605 healthy individuals aged 3-90 years",bioRxiv (Cold Spring Harbor Laboratory),2020
10.22541/au.158921683.38986270,Endotype clustering in chronic rhinosinusitis based on the chemokine expression pattern,Authorea,2020
10.1101/2020.05.06.20092833,Studying the pathophysiology of coronavirus disease 2019 – a protocol for the Berlin prospective COVID-19 patient cohort (Pa-COVID-19),medRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-19709/v1,"Generate-Boost: study protocol for a prospective, multicenter, randomized controlled, double-blinded phase II trial to evaluate efficacy and safety of bortezomib in patients with severe autoimmune encephalitis",Research Square,2020
10.1101/2020.05.14.095422,Enzymatic dissociation induces transcriptional and proteotype bias in brain cell populations,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.13.20100636,"The SARS-CoV-2 T-cell immunity is directed against the spike, membrane, and nucleocapsid protein and associated with COVID 19 severity",medRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-28744/v1,Multisensory cueing facilitates naming in aphasia,Research Square,2020
10.22541/au.158990721.16465586,Minimally Invasive Surgical Aortic Valve Replacement: the RALT approach,Authorea,2020
10.1101/2020.05.14.20101998,Obesity and COVID-19: The role of visceral adipose tissue,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.11.20098178,Suicide risk with selective serotonin reuptake inhibitors and new-generation serotonergic-noradrenergic antidepressants in adults: a systematic review and meta-analysis of observational studies,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.18.092973,Host genetic and environmental factors shape the human gut resistome,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.14.20100354,Genome-wide meta-analysis of muscle weakness identifies 15 susceptibility loci in older men and women,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.19.20105304,Detecting radiographic sacroiliitis using deep learning with expert-level accuracy in axial spondyloarthritis,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.19.20098566,Exemplar Scoring Identifies Genetically Separable Phenotypes of Lithium Responsive Bipolar Disorder,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.21.108266,SSRIs modulate asymmetric learning from reward and punishment,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.21.106914,Association between erythrocyte dynamics and vessel remodelling in developmental vascular networks,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.24.086215,"Bi-allelic variants inTSPOAP1, encoding the active zone protein RIMBP1, cause autosomal recessive dystonia",bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.26.113373,Somatostatin interneurons activated by 5-HT<sub>2A</sub> receptor suppress slow oscillations in medial entorhinal cortex,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.26.114710,Autoregulatory circuit regulating basolateral cargo export from the TGN: role of the orphan receptor GPRC5A in PKD signaling and cell polarity,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.27.20107243,HYPE: Predicting Blood Pressure from Photoplethysmograms in a Hypertensive Population,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.29.123034,The postsynaptic MAGUK scaffold protein MPP2 organises a distinct interactome that incorporates GABAA receptors at the periphery of excitatory synapses,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.28.120626,Computational hypothesis: How Intra-hepatic functional heterogeneity may influence the cascading progression of free fatty acid-induced non-alcoholic fatty liver disease (NAFLD),bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.05.28.114645,Evidence for an Active Role of Inferior Frontal Cortex in Conscious Experience,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-32440/v1,Detection of Subclinical Skin Manifestation in Patients With Psoriasis and Psoriatic Arthritis by Fluorescence Optical Imaging,Research Square,2020
10.22541/au.159121409.99363381,SARS-CoV-2 and the safety margins of cell-based biological medicinal products,Authorea,2020
10.1101/2020.06.04.135012,Olfactory transmucosal SARS-CoV-2 invasion as port of Central Nervous System entry in COVID-19 patients,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.04.134924,Drebrin mediates scar formation and astrocyte reactivity during brain injury by inducing RAB8 tubular endosomes,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.03.20119818,Suppressive myeloid cells are a hallmark of severe COVID-19,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.05.133298,Transcontrol of cardiac mRNA translation in a protein length-dependent fashion,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.05.115881,YAP and β-catenin co-operate to drive oncogenesis in basal breast cancer,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.04.20122614,"A rapid systematic review and case study on test, contact tracing, testing, and isolation policies for Covid-19 prevention and control",medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.07.138610,Single-cell transcriptomic analysis of antiviral responses and viral antagonism in Chikungunya virus-infected synovial fibroblasts,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.05.20120956,"Variants in <i>MARC1</i> and <i>HSD17B13</i> reduce severity of NAFLD in children, perturb phospholipid metabolism, and suppress fibrotic pathways",medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.07.138438,Multiple random phosphorylations in clock proteins provide long delays and switches,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.08.140707,Acquired mutations and transcriptional remodeling in long-term estrogen-deprived locoregional breast cancer recurrences,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.08.20125484,An analysis of SARS-CoV-2 viral load by patient age,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.09.137935,"Potent neutralization of clinical isolates of SARS-CoV-2 D614 and G614 variants by a monomeric, sub-nanomolar affinity Nanobody",bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.10.144022,Comparison of manual and automated ventricle segmentation in the maternal immune stimulation rat model of schizophrenia,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.09.142802,How does it feel to be on psilocybin? Dose-response relationships of subjective experiences in humans,bioRxiv (Cold Spring Harbor Laboratory),2020
10.22541/au.159188531.10214095,Minimally-invasive surgical explantation of a partially detached Cardioband device,Authorea,2020
10.1101/2020.06.12.146811,"An Integrative Genetic, Epigenetic and Proteomic Characterization of Pancreatic Neuroendocrine Neoplasms (PanNENs) defines Distinct Molecular Features of α- and β-cell like Subgroups",bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.11.146886,Neural signatures of pathological hyperdirect pathway activity in Parkinson’s disease,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.12.141945,State-dependent signatures of Anti-NMDA Receptor Encephalitis: a dynamic functional connectivity study,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.13.148056,Combining segmental bulk- and single-cell RNA-sequencing to define the chondrocyte gene expression signature in the murine knee joint,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.15.20131540,Causes of Death and Comorbidities in Patients with COVID-19,medRxiv (Cold Spring Harbor Laboratory),2020
10.22541/au.159242098.86730186,"Diagnosing, managing and preventing anaphylaxis: systematic review",Authorea,2020
10.21203/rs.2.23533/v3,Optical Coherence Tomography Angiography (OCTA) findings in Serpiginous Choroiditis,Research Square,2020
10.21203/rs.3.rs-34792/v1,"Predicting EQ-5D Index Scores from the PROMIS-29 Profile for the United Kingdom, France, and Germany",Research Square,2020
10.21203/rs.3.rs-35589/v1,Asphericity of Tumor FDG Uptake in Non-Small Cell Lung Cancer: Reproducibility and Implications for Harmonization in Multicenter Studies,Research Square,2020
10.21203/rs.3.rs-22482/v3,Use of Resuscitation promoting factors to screen for tuberculosis infection in household-exposed children in The Gambia,Research Square,2020
10.1101/2020.06.18.20134353,IL-13 is a driver of COVID-19 severity,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.19.161919,Tamoxifen reduces inflammatory infiltration of neutrophils in the airways,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.21.162735,Non-selective cation permeation in an AMPA-type glutamate receptor,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-36627/v1,Prognostic value of tumor-infiltrating immune cells in primary colorectal cancer and metastases,Research Square,2020
10.21203/rs.3.rs-34837/v1,Influenza Outbreak Among Students in Ghana: a Report From Three Time Points,Research Square,2020
10.1101/2020.06.25.169573,Integrative analysis of genomic variants reveals new associations of candidate haploinsufficient genes with congenital heart disease,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.26.173377,Single-cell-resolved dynamics of chromatin architecture delineate cell and regulatory states in wildtype and<i>cloche/npas4l</i>mutant zebrafish embryos,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.26.165456,An in vitro human-based fracture gap model – Mimicking the crosstalk between bone and immune cells,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.28.175802,Whole-Genome Sequences of the Severe Acute Respiratory Syndrome Coronavirus-2 obtained from Romanian patients between March and June of 2020,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.01.182709,Genetic architecture of host proteins interacting with SARS-CoV-2,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.01.182741,SARS-CoV-2 reactive T cells in uninfected individuals are likely expanded by beta-coronaviruses,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.06.30.180711,TADA – a Machine Learning Tool for Functional Annotation based Prioritisation of Putative Pathogenic CNVs,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-38980/v1,Are radiopharmaceuticals self-sterilizing? Radiation effect of gallium-68 and lutetium-177 on bacillus pumilus and staphylococcus succinus,Research Square,2020
10.1101/2020.07.01.182162,Targeting the ubiquitin-proteasome system in a pancreatic cancer subtype with hyperactive MYC,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.01.180919,USH2A is a skin end-organ protein necessary for vibration sensing in mice and humans,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.01.181727,mTOR inhibitors as radiosensitizers in neuroendocrine neoplasms,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.02.182832,HIF-stabilization prevents delayed fracture healing,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.02.185132,Is structure based drug design ready for selectivity optimization?,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.02.20144212,Transfer RNA fragments replace microRNA regulators of the cholinergic post-stroke immune blockade,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.01.20143214,High frequency of cerebrospinal fluid autoantibodies in COVID-19 patients with neurological symptoms,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.06.20147025,Association between consumption of fermented vegetables and COVID-19 mortality at a country level in Europe,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.07.192385,Extra-hematopoietic immunomodulatory role of the SCID-susceptibility gene DOCK-2 identified by stepwise maturation of human iPSCs into clonogenic mesodermal stromal progenitors,bioRxiv (Cold Spring Harbor Laboratory),2020
10.20944/preprints202007.0113.v1,Selenium Deficiency is Associated with Mortality Risk from COVID-19,Preprints.org,2020
10.1101/2020.06.29.20140749,"Limited specificity of serologic tests for SARS-CoV-2 antibody detection, Benin, Western Africa",medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.11.20151399,Decontamination of N95 masks against coronavirus: a scoping review,medRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-40974/v1,Proposal for an Implementation Framework for Digital Health Technology in the Intensive Care Unit: A Qualitative Study,Research Square,2020
10.21203/rs.3.rs-38842/v1,Carboxymethyl Chitosan Reduces Inflammation and Promotes Osteogenesis in a Rabbit Knee Replacement Model,Research Square,2020
10.21203/rs.3.rs-38496/v1,Functional comparison of MERS-coronavirus lineages reveals increased zoonotic potential of the recombinant lineage 5,Research Square,2020
10.1101/656793,Scanning SWATH acquisition enables high-throughput proteomics with chromatographic gradients as fast as 30 seconds,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-16496/v3,"Occupational injuries, daily workload, and fitness levels among fitness and swimming instructors.",Research Square,2020
10.22541/au.159493397.79345039,Sulforaphane: from death rate heterogeneity in countries to candidate for prevention of severe COVID-19,Authorea,2020
10.21203/rs.3.rs-38643/v1,A Systematic Review of Green-Light Laser Vaporization for Superficial Bladder Cancer,Research Square,2020
10.1101/2020.07.17.208058,A novel approach for assessing hypoperfusion in stroke using spatial independent component analysis of resting-state fMRI,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.17.20155846,Association between consumption of vegetables and COVID-19 mortality at a country level in Europe,medRxiv (Cold Spring Harbor Laboratory),2020
10.22541/au.159526902.25301228,Loss of food fermentation in Westernized diet: a risk factor for severe COVID-19?,Authorea,2020
10.1101/2020.07.21.214122,Effects of early life stress on bone homeostasis in mice and humans,bioRxiv (Cold Spring Harbor Laboratory),2020
10.22541/au.159542463.33167181,The COVID Pandemic - Potential Collateral Damage in a Less Focused Dimension,Authorea,2020
10.1101/2020.07.23.218727,Decreasing alertness modulates perceptual decision-making,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.22.208223,Is Kambô psychoactive? Acute and subacute effects of the secretion of the Giant Maki Frog (Phyllomedusa bicolor) on human consciousness,bioRxiv (Cold Spring Harbor Laboratory),2020
10.26434/chemrxiv.12696392.v1,KinFragLib: Exploring the Kinase Inhibitor Space Using Subpocket-Focused Fragmentation and Recombination,Biological and Medicinal Chemistry (ChemRxiv),2020
10.1101/2020.07.24.220145,Sensorimotor functional connectivity: a neurophysiological factor related to BCI performance,bioRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.20.20157800,Sunlight exposure exerts immunomodulatory effects to reduce multiple sclerosis severity,medRxiv (Cold Spring Harbor Laboratory),2020
https://arxiv.org/pdf/2004.03384.pdf,Covid-19 -- A simple statistical model for predicting ICU load in early phases of the disease,arXiv (Cornell University),2020
10.1101/2020.07.27.223438,Polycomb-mediated Genome Architecture Enables Long-range Spreading of H3K27 methylation,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-26062/v1,"Evaluation of the online-based self-help programme “Selfapy” in patients with unipolar depression: study protocol for a randomized, blinded parallel group dismantling study",Research Square,2020
10.22541/au.159594808.80874048,The Child Ecosystem and Childhood Pulmonary Tuberculosis: A South African Perspective,Authorea,2020
10.1101/2020.07.27.20162636,The German Corona Consensus Dataset (GECCO): A standardized dataset for COVID-19 research,medRxiv (Cold Spring Harbor Laboratory),2020
10.1101/2020.07.28.224485,The impact of different negative training data on regulatory sequence predictions,bioRxiv (Cold Spring Harbor Laboratory),2020
10.22541/au.159611484.40009356,Cabbage and fermented vegetables: from death rate heterogeneity in countries to candidates for mitigation strategies of severe COVID-19,Authorea,2020
10.21203/rs.3.rs-48985/v1,Hypophosphataemia in Critically Ill Adults and Children – A Systematic Review,Research Square,2020
https://www.preprints.org/manuscript/201906.0128/v2,Integrating Single Cell RNA-Sequencing and Functional Assays to Decipher Mammary Cell States and Lineage Hierarchies,Preprints.org,2020
10.21203/rs.3.rs-18526/v2,Is combining serum interleukin-6 and C-reactive protein a reliable diagnostic tool in periprosthetic joint infections?,Research Square,2020
10.1101/2020.07.31.230995,A genetic probe for visualizing glutamatergic synapses and vesicles by 3D electron microscopy,bioRxiv (Cold Spring Harbor Laboratory),2020
10.21203/rs.3.rs-51805/v1,Magnetic resonance imaging and ultrasound for prediction of residual tumor size in early breast cancer within the ADAPT subtrials,Research Square,2020
10.22541/au.159672620.00081079,Peanut induced anaphylaxis in children and adolescents: data from the European Anaphylaxis Registry,Authorea,2020
