nct_id,year,start_date,study_first_submitted_date,days_reg_to_start,has_prospective_registration
NCT05256576,2020,2020-07-01,2022-01-05,-553,FALSE
NCT01370044,2012,2012-08-31,2011-05-20,469,TRUE
NCT04871269,2021,2021-05-01,2021-05-03,-2,TRUE
NCT02400229,2015,2015-10-03,2015-01-15,261,TRUE
NCT03671005,2018,2018-05-01,2018-09-07,-129,FALSE
NCT03625167,2018,2018-07-31,2018-08-01,-1,FALSE
NCT06136390,2023,2023-09-30,2023-11-04,-35,FALSE
NCT01923493,2013,2013-08-31,2013-08-13,18,TRUE
NCT04452916,2020,2020-11-02,2020-06-23,132,TRUE
NCT05007132,2021,2021-12-17,2021-08-12,127,TRUE
NCT02223091,2014,2014-09-30,2014-07-02,90,TRUE
NCT01112579,2010,2010-04-30,2010-04-16,14,TRUE
NCT01357681,2011,2011-09-30,2011-05-19,134,TRUE
NCT03129828,2017,2017-03-17,2017-04-20,-34,FALSE
NCT05716451,2023,2023-04-27,2023-01-28,89,TRUE
NCT04159051,2016,2016-10-31,2019-11-06,-1101,FALSE
NCT05328856,2022,2022-05-25,2022-04-07,48,TRUE
NCT00876772,2011,2011-03-31,2009-04-06,724,TRUE
NCT02557698,2014,2014-11-30,2015-09-21,-295,FALSE
NCT02453906,2015,2015-05-31,2015-04-29,32,TRUE
NCT01349790,2011,2011-10-31,2011-05-05,179,TRUE
NCT00953264,2007,2007-12-31,2009-08-05,-583,FALSE
NCT03508414,2017,2017-04-11,2017-12-21,-254,FALSE
NCT02071615,2013,2013-08-31,2014-02-15,-168,FALSE
NCT00910936,2009,2009-05-31,2009-05-29,2,TRUE
NCT03383770,2018,2018-02-05,2017-12-14,53,TRUE
NCT04774874,2020,2020-06-24,2021-02-25,-246,FALSE
NCT01035203,2009,2009-12-31,2009-12-17,14,TRUE
NCT02649907,2015,2015-09-12,2015-11-04,-53,FALSE
NCT03402685,2018,2018-05-17,2018-01-11,126,TRUE
NCT00432107,2006,2006-07-31,2007-02-06,-190,FALSE
NCT00590447,2006,2006-12-31,2007-12-28,-362,FALSE
NCT02733367,2016,2016-03-04,2016-03-16,-12,TRUE
NCT04532866,2021,2021-09-14,2020-08-19,391,TRUE
NCT05294887,2022,2022-03-04,2022-02-28,4,TRUE
NCT06329219,2024,2024-03-26,2024-03-19,7,TRUE
NCT01893073,2013,2013-06-30,2013-07-02,-2,FALSE
NCT05941455,2023,2023-10-31,2023-07-04,119,TRUE
NCT00888095,2010,2010-07-31,2009-04-23,464,TRUE
NCT02541071,2013,2013-11-30,2015-08-06,-614,FALSE
NCT00993980,2009,2009-10-31,2009-10-13,18,TRUE
NCT02422563,2015,2015-10-31,2015-02-11,262,TRUE
NCT01271595,2009,2009-08-31,2010-12-23,-479,FALSE
NCT04500418,2020,2020-08-25,2020-08-04,21,TRUE
NCT00525668,2007,2007-09-30,2007-09-04,26,TRUE
NCT03240237,2018,2018-05-01,2017-08-02,272,TRUE
NCT00866684,2007,2007-01-01,2009-03-19,-808,FALSE
NCT03906578,2019,2019-09-02,2019-04-05,150,TRUE
NCT03547388,2018,2018-07-01,2018-03-27,96,TRUE
NCT04398758,2020,2020-07-22,2020-05-18,65,TRUE
NCT01498731,2011,2011-04-30,2011-10-25,-178,FALSE
NCT01840865,2013,2013-10-31,2013-04-18,196,TRUE
NCT00368264,2006,2006-09-30,2006-08-23,38,TRUE
NCT00268138,2006,2006-04-30,2005-12-21,130,TRUE
NCT01014871,2009,2009-07-31,2009-11-16,-108,FALSE
NCT04998591,2021,2021-08-03,2021-07-24,10,TRUE
NCT02850341,2016,2016-07-31,2016-07-22,9,TRUE
NCT04781491,2022,2022-06-27,2021-02-23,489,TRUE
NCT01449513,2011,2011-09-30,2011-10-06,-6,FALSE
NCT05122793,2021,2021-06-21,2021-10-21,-122,FALSE
NCT04889742,2024,2024-05-10,2021-05-12,1094,TRUE
NCT00871026,2007,2007-03-31,2009-03-27,-727,FALSE
NCT05491486,2022,2022-06-15,2022-08-03,-49,FALSE
NCT01144429,2010,2010-06-30,2010-06-10,20,TRUE
NCT01117649,2010,2010-05-31,2010-04-28,33,TRUE
NCT00866944,2009,2009-03-31,2009-03-20,11,TRUE
NCT00953966,2007,2007-06-30,2009-08-05,-767,FALSE
NCT03097146,2017,2017-04-11,2017-03-27,15,TRUE
NCT01864707,2013,2013-04-30,2013-04-02,28,TRUE
NCT04359147,2019,2019-11-01,2020-04-20,-171,FALSE
NCT04504994,2020,2020-02-01,2020-07-30,-180,FALSE
NCT02216526,2014,2014-09-30,2014-08-11,50,TRUE
NCT01523938,2012,2012-03-31,2012-01-30,61,TRUE
NCT02338388,2012,2012-01-31,2015-01-12,-1077,FALSE
NCT03857984,2018,2018-05-01,2019-02-24,-299,FALSE
NCT01263990,2010,2010-09-30,2010-12-14,-75,FALSE
NCT02710721,2016,2016-04-30,2016-02-09,81,TRUE
NCT01184430,2013,2013-08-31,2010-08-17,1110,TRUE
NCT02371434,2015,2015-02-28,2015-02-18,10,TRUE
NCT02747758,2016,2016-09-19,2016-04-15,157,TRUE
NCT01274702,2010,2010-05-31,2011-01-10,-224,FALSE
NCT01466465,2011,2011-10-31,2011-11-01,-1,FALSE
NCT01199133,2009,2009-10-31,2010-09-09,-313,FALSE
NCT01785082,2013,2013-01-31,2013-01-25,6,TRUE
NCT03227081,2017,2017-07-17,2017-07-20,-3,TRUE
NCT01272050,2011,2011-01-06,2011-01-06,0,TRUE
NCT02615977,2015,2015-04-30,2015-11-20,-204,FALSE
NCT03808948,2019,2019-01-10,2019-01-08,2,TRUE
NCT03884153,2020,2020-12-03,2019-03-19,625,TRUE
NCT00799890,2009,2009-05-31,2008-11-28,184,TRUE
NCT05068505,2023,2023-01-05,2021-09-15,477,TRUE
NCT01170052,2010,2010-05-31,2010-07-14,-44,FALSE
NCT00974506,2009,2009-08-31,2009-09-09,-9,FALSE
NCT01413243,2012,2012-09-30,2011-08-08,419,TRUE
NCT01601756,2011,2011-09-30,2012-05-14,-227,FALSE
NCT03019861,2017,2017-01-31,2017-01-02,29,TRUE
NCT01538355,2012,2012-07-30,2012-02-15,166,TRUE
NCT05689671,2023,2023-12-06,2022-11-30,371,TRUE
NCT01225133,2010,2010-10-31,2010-10-06,25,TRUE
NCT01286610,2011,2011-02-28,2011-01-28,31,TRUE
NCT05886569,2023,2023-05-25,2023-05-12,13,TRUE
NCT00543881,2008,2008-01-31,2007-10-11,112,TRUE
NCT01057043,2010,2010-01-31,2010-01-26,5,TRUE
NCT02048137,2014,2014-01-31,2014-01-11,20,TRUE
NCT01811589,2013,2013-05-31,2013-03-13,79,TRUE
NCT02896491,2016,2016-05-01,2016-05-27,-26,TRUE
NCT06256952,2024,2024-10-01,2024-01-11,264,TRUE
NCT04908774,2021,2021-05-25,2021-05-10,15,TRUE
NCT06605079,2024,2024-10-10,2024-09-11,29,TRUE
NCT02129413,2014,2014-05-31,2014-04-24,37,TRUE
NCT01797887,2013,2013-05-31,2013-02-21,99,TRUE
NCT01888055,2013,2013-05-31,2013-06-25,-25,FALSE
NCT01271075,2010,2010-09-30,2010-12-30,-91,FALSE
NCT01953549,2013,2013-10-31,2013-06-28,125,TRUE
NCT02682693,2017,2017-02-13,2016-01-27,383,TRUE
NCT06607042,2024,2024-09-16,2024-09-13,3,TRUE
NCT02896062,2014,2014-10-31,2016-08-31,-670,FALSE
NCT04750265,2021,2021-03-29,2021-02-09,48,TRUE
NCT02340299,2015,2015-01-01,2015-01-10,-9,TRUE
NCT04730518,2021,2021-01-28,2021-01-26,2,TRUE
NCT03807479,2018,2018-12-11,2018-11-07,34,TRUE
NCT00331669,2006,2006-05-31,2006-05-26,5,TRUE
NCT06246149,2024,2024-11-11,2024-01-30,286,TRUE
NCT05919940,2023,2023-06-27,2023-06-06,21,TRUE
NCT00576030,2007,2007-01-31,2007-12-14,-317,FALSE
NCT01605487,2012,2012-06-30,2012-05-11,50,TRUE
NCT04644744,2021,2021-01-14,2020-11-13,62,TRUE
NCT01740544,2012,2012-10-31,2012-07-27,96,TRUE
NCT01928823,2011,2011-11-30,2013-07-26,-604,FALSE
NCT00473603,2006,2006-12-31,2007-05-14,-134,FALSE
NCT02253056,2014,2014-09-30,2014-09-19,11,TRUE
NCT06030635,2023,2023-10-25,2023-09-01,54,TRUE
NCT03796754,2019,2019-01-21,2019-01-02,19,TRUE
NCT03109028,2018,2018-03-01,2017-04-06,329,TRUE
NCT01277315,2011,2011-02-28,2011-01-13,46,TRUE
NCT05991102,2023,2023-12-15,2023-07-21,147,TRUE
NCT05809856,2023,2023-12-18,2022-12-05,378,TRUE
NCT06410547,2024,2024-05-15,2024-04-24,21,TRUE
NCT06237673,2023,2023-12-01,2023-12-20,-19,TRUE
NCT00636012,2008,2008-03-31,2008-03-11,20,TRUE
NCT01165970,2009,2009-01-31,2010-06-30,-515,FALSE
NCT06645496,2024,2024-10-07,2024-10-15,-8,TRUE
NCT06261710,2024,2024-02-27,2024-01-30,28,TRUE
NCT01183767,2010,2010-12-30,2010-08-17,135,TRUE
NCT05858437,2024,2024-01-15,2023-04-25,265,TRUE
NCT02379000,2015,2015-01-31,2015-02-23,-23,FALSE
NCT01503372,2011,2011-11-30,2011-12-22,-22,FALSE
NCT01357694,2011,2011-05-31,2011-05-18,13,TRUE
NCT02893800,2016,2016-06-30,2016-08-29,-60,FALSE
NCT03240627,2018,2018-02-01,2017-07-26,190,TRUE
NCT03220386,2017,2017-05-01,2017-05-08,-7,TRUE
NCT01402739,2011,2011-08-31,2011-07-25,37,TRUE
NCT04698993,2021,2021-02-12,2021-01-05,38,TRUE
NCT05231239,2021,2021-01-01,2022-01-28,-392,FALSE
NCT04156035,2020,2020-03-10,2019-10-23,139,TRUE
NCT01974011,2013,2013-11-25,2013-10-28,28,TRUE
NCT01122693,2010,2010-01-31,2010-05-10,-99,FALSE
NCT01418742,2011,2011-08-31,2011-08-03,28,TRUE
NCT03920930,2019,2019-03-01,2019-04-16,-46,FALSE
NCT04709445,2020,2020-03-01,2021-01-13,-318,FALSE
NCT03562312,2018,2018-05-03,2018-05-03,0,TRUE
NCT06207526,2023,2023-04-06,2023-12-19,-257,FALSE
NCT00930475,2009,2009-02-28,2009-06-18,-110,FALSE
NCT01013233,2009,2009-12-31,2009-11-12,49,TRUE
NCT00530738,2007,2007-09-30,2007-09-14,16,TRUE
NCT01801787,2013,2013-03-31,2013-02-26,33,TRUE
NCT03759249,2015,2015-12-08,2018-11-28,-1086,FALSE
NCT03094546,2017,2017-01-31,2017-03-14,-42,FALSE
NCT06368791,2024,2024-04-15,2024-04-08,7,TRUE
NCT03590496,2018,2018-07-25,2018-07-06,19,TRUE
NCT04423796,2020,2020-11-13,2020-06-06,160,TRUE
NCT03121885,2017,2017-01-01,2017-03-31,-89,FALSE
NCT02110407,2014,2014-03-31,2014-02-13,46,TRUE
NCT01662232,2012,2012-08-31,2012-08-07,24,TRUE
NCT04416048,2020,2020-11-30,2020-06-02,181,TRUE
NCT01170936,2010,2010-07-31,2010-07-26,5,TRUE
NCT04618211,2021,2021-02-03,2020-10-26,100,TRUE
NCT03369938,2017,2017-12-04,2017-11-15,19,TRUE
NCT01179971,2008,2008-12-31,2010-08-04,-581,FALSE
NCT01634204,2011,2011-09-30,2012-07-03,-277,FALSE
NCT01693393,2010,2010-03-31,2012-09-14,-898,FALSE
NCT05843149,2023,2023-05-02,2023-04-20,12,TRUE
NCT02633228,2014,2014-12-31,2015-12-14,-348,FALSE
NCT02793557,2016,2016-01-31,2016-05-16,-106,FALSE
NCT01388621,2011,2011-10-31,2011-05-17,167,TRUE
NCT00883961,2009,2009-12-31,2009-04-17,258,TRUE
NCT06270485,2023,2023-11-27,2024-02-02,-67,FALSE
NCT02794272,2016,2016-04-30,2016-04-05,25,TRUE
NCT01306552,2010,2010-10-31,2011-03-01,-121,FALSE
NCT02251535,2014,2014-07-31,2014-09-23,-54,FALSE
NCT00406575,2006,2006-11-30,2006-11-30,0,TRUE
NCT01417312,2011,2011-07-31,2011-08-15,-15,FALSE
NCT00512135,2007,2007-06-18,2007-08-06,-49,FALSE
NCT03124641,2017,2017-01-17,2017-03-20,-62,FALSE
NCT02967302,2015,2015-08-31,2016-11-10,-437,FALSE
NCT00778648,2008,2008-09-30,2008-10-21,-21,FALSE
NCT05403762,2022,2022-08-19,2022-05-23,88,TRUE
NCT05665608,2023,2023-11-16,2022-12-19,332,TRUE
NCT06116942,2023,2023-11-08,2023-09-27,42,TRUE
NCT05031052,2022,2022-05-10,2021-08-23,260,TRUE
NCT03094520,2016,2016-05-01,2017-02-24,-299,FALSE
NCT02078947,2014,2014-07-28,2014-02-25,153,TRUE
NCT03749148,2018,2018-12-10,2018-07-12,151,TRUE
